"IDVI_1","IDVI_2","IDVI_3","COMU_1","COMU_2","COMU_3","COMP_1","COMP_2","COMP_3","COMP_4","CULT_1","CULT_2","CULT_3","ATR_1","ATR_2","ID_1","ID_2","ID_3","ID_4","ACT_1","ACT_2","ACT_3","ACT_4","EXTRA_1","EXTRA_2","EXTRA_3"
7,7,3,3,3,4,3,5,7,3,3,6,3,6,6,6,6,6,6,7,7,7,7,7,7,7
7,7,4,5,6,5,7,4,7,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,5,5
6,7,4,7,6,5,6,4,7,7,6,5,4,7,7,6,7,7,7,7,7,7,7,7,7,7
5,5,6,5,5,5,4,6,6,5,5,4,5,6,6,5,4,6,6,7,7,7,7,7,6,6
6,5,5,7,6,5,6,6,6,6,5,6,5,7,7,7,7,7,7,7,6,7,7,7,7,7
5,7,5,7,4,2,2,5,7,4,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,5,7,5,7,4,7,7,7,7,7,7,7,7,7,7,7,5,7,7,1,5
6,4,4,5,4,2,5,4,5,5,3,4,4,6,6,4,5,5,5,7,6,6,7,7,6,6
6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5
6,6,6,6,6,4,5,4,5,5,5,5,5,6,7,7,7,7,6,7,6,5,7,7,7,6
5,6,2,4,4,3,5,3,5,4,4,2,2,4,6,4,5,5,4,6,5,6,6,6,4,5
3,6,3,5,4,4,4,3,3,6,4,3,2,6,5,5,3,3,3,2,3,3,2,5,3,4
6,5,5,5,4,3,4,4,3,4,4,4,4,5,5,4,5,5,5,4,4,4,4,4,3,5
5,7,7,5,5,4,5,6,6,6,5,5,5,6,7,6,6,7,6,7,7,7,7,7,7,7
3,3,4,6,6,6,5,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,5,4
5,6,3,5,5,4,6,6,5,3,5,5,4,6,5,6,7,6,5,6,5,5,5,6,6,5
6,7,2,6,6,6,6,2,2,2,6,6,2,5,6,6,6,6,5,7,7,7,6,7,6,6
4,3,4,5,4,3,5,5,3,4,4,4,5,6,6,5,6,5,5,7,6,6,6,7,5,5
2,4,2,1,3,1,1,1,2,3,2,4,2,2,3,3,2,2,2,6,4,3,6,6,6,4
6,7,6,6,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,6,7,6,7
6,6,6,7,6,5,6,5,6,6,6,4,4,5,5,6,6,5,4,6,6,6,6,6,2,3
6,5,4,3,4,4,5,5,6,6,5,5,5,6,6,6,6,6,6,7,6,6,5,6,6,5
4,5,4,2,3,1,5,3,3,3,4,4,3,5,5,7,7,5,5,5,5,5,7,7,7,6
6,6,5,5,5,4,4,7,7,5,6,5,4,7,6,6,7,6,7,7,7,7,7,5,4,5
6,7,6,6,6,5,NA,5,7,5,7,6,6,7,6,6,7,7,7,6,6,7,7,7,6,6
3,5,4,5,5,2,4,1,3,3,3,3,2,5,4,5,5,4,4,5,5,7,7,7,7,6
4,4,3,3,4,2,5,5,1,4,4,4,3,5,5,4,6,4,5,5,6,6,7,6,3,6
2,3,2,3,3,2,3,3,3,3,2,3,3,4,3,4,5,3,3,4,4,6,7,4,3,3
5,7,7,4,5,3,2,2,4,3,3,4,2,4,2,6,6,5,3,6,7,6,7,5,5,4
5,5,2,4,4,3,4,3,6,4,3,3,2,4,4,4,4,5,3,5,5,6,6,6,6,6
5,5,5,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,7,6,5,6,4,6,5,7,6,5,5,4,7,7,5,7,6,7,7,5,6,7,6,5,5
7,7,7,6,4,7,6,6,6,6,6,1,1,7,7,5,7,5,6,6,6,6,7,7,7,7
6,6,3,6,6,5,6,6,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,3
5,7,6,6,5,4,5,4,5,5,5,5,3,6,6,3,7,5,6,5,4,4,5,5,4,6
4,4,1,5,6,3,6,3,4,3,2,1,5,4,5,4,6,6,6,7,5,7,7,7,7,7
7,7,3,6,5,6,6,6,6,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6
7,7,3,6,7,1,1,4,4,1,1,1,6,6,6,7,7,7,7,7,7,7,7,7,NA,7
7,7,5,7,7,7,7,5,7,7,6,6,6,7,7,6,7,7,7,6,7,6,6,7,7,7
4,6,3,5,6,4,4,3,4,4,4,4,5,5,5,4,4,4,4,6,6,6,7,7,7,7
5,5,5,4,5,3,4,4,5,4,4,4,5,5,4,1,4,5,4,7,7,6,7,6,6,6
5,6,3,5,5,3,5,7,7,5,5,4,3,6,5,6,6,6,5,6,5,5,5,7,6,7
6,6,4,6,6,6,6,6,6,5,6,6,5,6,6,6,7,5,5,4,2,4,7,5,5,5
5,7,7,6,6,5,6,6,6,6,6,4,5,6,6,7,6,6,7,7,6,6,6,7,4,4
7,7,4,6,6,7,7,7,7,6,7,5,3,7,7,5,7,7,7,7,7,7,7,7,7,6
7,7,6,4,4,5,5,6,6,6,7,7,7,5,7,7,7,7,7,7,7,7,5,7,7,7
4,6,4,5,4,5,5,5,5,5,5,6,4,6,5,6,7,6,5,6,6,6,6,4,5,5
6,6,7,5,6,7,6,5,5,5,5,5,5,5,5,5,5,7,5,7,5,5,5,5,5,5
6,7,5,6,6,5,5,7,7,7,6,6,6,6,6,6,6,6,6,7,6,6,7,7,7,6
7,7,4,7,6,3,3,4,4,2,6,6,7,6,6,4,5,5,5,7,6,6,7,6,7,7
7,7,5,6,6,4,6,5,7,6,6,5,4,6,6,6,7,7,7,7,7,7,6,7,7,6
7,6,4,3,4,4,4,5,5,5,4,4,6,6,6,6,7,6,6,7,6,5,6,7,6,7
5,5,6,6,6,5,5,5,5,5,5,6,6,6,6,4,4,5,5,7,7,7,7,7,7,6
7,7,4,6,5,5,6,5,7,5,6,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7
6,7,5,7,7,6,7,6,7,7,7,6,5,7,7,7,7,7,7,7,7,7,6,7,7,7
4,6,5,5,6,4,5,4,4,4,5,5,5,4,4,5,6,6,6,5,5,4,7,6,5,6
7,7,5,7,6,6,6,5,6,6,6,6,6,6,6,7,7,7,7,7,6,6,7,7,6,6
7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,6,6,6,7,5,7,5,5,5,6,5,4,6,5,6,6,7,6,7,7,7,7,6,7,6
7,7,7,6,6,5,5,5,6,NA,NA,5,4,6,6,6,6,6,6,7,7,7,7,6,5,5
4,4,5,6,5,3,7,4,5,4,3,2,2,3,2,1,4,4,1,4,4,4,4,5,4,6
3,6,4,4,4,3,3,2,6,4,4,6,3,5,6,5,6,6,6,6,5,5,6,5,5,4
6,6,4,7,6,5,6,5,7,6,6,5,6,6,6,7,7,7,6,7,6,7,7,7,6,6
6,6,4,6,6,5,5,5,5,4,5,5,4,6,6,6,7,7,5,7,7,7,7,7,7,7
